Country,Avg_tax,Prod,Rev,Gini,Unemp
Chile,7,26.02053,37.7,0.503,
New Zealand,15.869,39.790612,39.7,0.333,8.994334278
Mexico,16.155,20.225429,24.5,0.457,2.035372166
Israel,19.821,37.494435,37.7,0.371,20.22819197
Korea,20.344,31.860528,33.2,0.307,0.38601006
Switzerland,20.998,60.780657,33.5,0.285,38.8070303
Australia,26.65,53.877292,34,0.326,18.90564023
Ireland,26.776,63.262686,34.4,0.304,59.43891594
United States,29.511,67.433531,33.1,0.39,31.32135845
Japan,30.807,41.156359,33.9,0.34,39.41605839
Canada,30.816,50.613833,37.7,0.315,13.46297681
United Kingdom,32.504,49.169285,38.2,0.351,33.44837899
Iceland,33.995,42.910381,45.6,0.257,27.84016715
Poland,34.314,29.480886,38.8,0.298,31.59208312
OECD,35.199,,,0.315294118,33.64671967
Luxembourg,35.961,92.500453,43.8,0.302,28.81624119
Norway,37.467,84.982386,54.7,0.253,11.58574955
Turkey,37.697,30.76129,36.6,0.402,26.4807031
Netherlands,37.755,64.75299,43.9,0.281,33.56387787
Denmark,38.395,63.621819,58.4,0.249,24.36967532
Slovak Republic,38.868,38.130706,38.9,0.25,63.89928371
Portugal,38.998,35.145043,44.5,0.338,48.15279083
Spain,39.891,51.043946,38.6,0.335,41.56752599
Estonia,40.143,31.439394,38.7,0.338,56.80085673
Czech Republic,42.509,35.327344,40.6,0.256,41.56139343
Slovenia,42.647,39.649127,44.8,0.25,44.21407103
Finland,42.726,53.228849,54.9,0.26,22.64334305
Sweden,42.8,57.387333,50.1,0.274,17.17491369
Italy,47.612,50.508621,48.2,0.327,51.86224422
Austria,48.408,56.720567,50,0.276,25.94073784
France,49.376,63.990517,53.6,0.306,41.41421044
Hungary,49.378,31.122121,47.4,0.289,49.06259618
Germany,49.811,63.495743,44.6,0.289,47.95580667
Belgium,55.548,66.76198,52,0.268,48.3131589
